# BD IPDI 110C 0.5 - NCO/DIPA = 0.50
# time / hours, [OH] / mol/L
0.0, 4.49231
3.088970172420888e-5, 4.4921637844841396
0.0003397867189662976, 4.490702411565447
0.003428756891387185, 4.476166500463575
0.03046924108443835, 4.354693903770077
0.10106353673607166, 4.079918011017756
0.21686871807607852, 3.729390842396649
0.37666582772129875, 3.381585701856014
0.593755404640676, 3.061691048911451
0.8730633641609794, 2.7969047199500343
1.218667497786447, 2.59358259309914
1.631783222750231, 2.4464827243008145
2.1128804687360034, 2.3443405092886644
2.660469978284477, 2.2750914191332052
3.2726593640072026, 2.2278843911695234
3.9488955879158967, 2.1941462493932042
4.692896197931542, 2.167725737730046
5.515376557154515, 2.1445062659062315
6.435805980256778, 2.121788508223419
7.483156113400575, 2.0977154316682984
8.697982642300037, 2.07082228250812
10.13775799336244, 2.0396834297749344
11.887862030186055, 2.002570641803584
14.081611993632992, 1.957041914982054
16.93706239229567, 1.899350700820193
20.801736442592965, 1.8239993133240262
26.036159856245618, 1.726739568119314
32.43698822182103, 1.6149119430617263
38.7371649319533, 1.512013646514495
44.32803376190279, 1.4262806005002548
49.50051291474119, 1.3513495196412306
54.68213103217517, 1.2802895512433965
60.19857777116638, 1.2088074091238905
66.24157067359339, 1.1351529776834681
72.9071910667287, 1.0591964136319278
80.23181777247017, 0.9816879059981549
88.23393510756112, 0.9036074200897911
96.96, 0.825675136387327
