# BD IPDI 110C 0.5 - NCO/DIPA = 0.50
# time / hours, [OH] / mol/L
0.0, 4.49231
1.7038981399024046e-6, 4.492301829222283
2.3504378703408384e-6, 4.4922987288534815
2.9529359280836356e-6, 4.49229583968461
3.580551477425521e-6, 4.492292830075317
4.245357027821154e-6, 4.4922896421351135
4.9417374983153045e-6, 4.492286302791028
5.653650131208005e-6, 4.492282888973429
6.36535416656125e-6, 4.492279476163857
7.0685737551163325e-6, 4.49227610404706
7.76263171997868e-6, 4.49227277586999
8.45099171499949e-6, 4.492269475023346
9.13771758427642e-6, 4.492266182019931
9.8255530649966e-6, 4.492262883702908
1.1205365466428349e-5, 4.492256267231579
1.3001305584068586e-5, 4.492247655389747
1.6534436633800826e-5, 4.492230713562408
2.446048981650539e-5, 4.492192707790612
4.857045252048314e-5, 4.492077105366273
0.000164488729767872, 4.491521424525464
0.001274779262011649, 4.486209371117754
0.005497594774247564, 4.4661760153426835
0.01184138294691069, 4.436578337142397
0.025195820328451097, 4.376154393151043
0.0436782944203179, 4.296508581443263
0.07370847719172194, 4.176105313678288
0.11257200971193038, 4.034944565591895
0.16728604584837867, 3.8599798234577496
0.2346687730442945, 3.6757574939521214
0.3204223514119083, 3.4804618316011906
0.4169359623288969, 3.3008292491587397
0.5181519324145066, 3.1469922491378686
0.6169253337311471, 3.022911980142932
0.713874497757151, 2.920604570364506
0.8068209246851732, 2.836981889183131
0.8991011419175637, 2.765344315088035
0.9876573035872366, 2.7054305224365125
1.0778207475477213, 2.651868799601821
1.164851049893202, 2.6062034722182026
1.2558416765148896, 2.5638587578147938
1.3443837364880202, 2.527204480629691
1.4390400157559573, 2.4922842855125413
1.5320709071384464, 2.461674710657545
1.6331628115179893, 2.4320055416684654
1.7336900825779105, 2.4057093037610358
1.8441437745465945, 2.3799856252795584
1.955427303889389, 2.35695638709777
2.07861186722511, 2.3343497771990864
2.204489522278216, 2.3139201288800963
2.3445972900492547, 2.2938610600351383
2.4899101900598395, 2.2755654921572472
2.652422871689499, 2.257616276897536
2.8235048898755712, 2.24108343449029
3.015680438583772, 2.2248561780329568
3.220770237061089, 2.2097335040116644
3.451784883800871, 2.194832584421271
3.7008470543565726, 2.180727645221364
3.98113320876256, 2.1666909862126933
4.285082145410113, 2.15309741666224
4.625984646976898, 2.1393028831344845
4.997300359848911, 2.1255091099812775
5.412493454345284, 2.1111291698424375
5.865250327860666, 2.096297203910631
6.366597739476552, 2.080564366803303
6.906458821733515, 2.064173570499615
7.491018598758638, 2.0468788479602678
8.107749199358482, 2.0290175537078374
8.76227256853, 2.0104154533149576
9.443855618620699, 1.991386082318956
10.159447153000947, 1.9717575568553065
10.900663156828076, 1.9517921165808898
11.67546064445, 1.9313145752809755
12.477626965915885, 1.9105342580930305
13.31575631280408, 1.8892788640282256
14.1857558707564, 1.8677085575387855
15.096674377377825, 1.8456616397081902
16.046567774080618, 1.8232557222870864
17.045012286489953, 1.8003440809428046
18.092321979680708, 1.777009326080117
19.19881462622625, 1.7531229830164763
20.36732108955626, 1.7287393703365836
21.609299833091786, 1.7037499847343975
22.93045838217814, 1.6781884375863818
24.34396941742025, 1.6519674652539327
25.85887651992771, 1.6251087391040147
27.49074872628283, 1.5975486565352541
29.2524230388669, 1.5693080030743352
31.162410216111606, 1.5403530533673997
33.23736907190205, 1.5107200944060655
35.498404071929706, 1.4804199875541926
37.964493678060315, 1.4495302504700724
40.65673958410848, 1.418130120665294
43.59234320290137, 1.3863638565116498
46.78781450848704, 1.3543856620587336
50.25463798459732, 1.3223888309803995
54.00349691614753, 1.2905484373277354
58.04222000182076, 1.2590329782143999
62.380574043300626, 1.2279635930697173
67.0284864619809, 1.197434193333253
71.99996133260304, 1.1674923796396652
77.31067536470002, 1.1381651383729334
82.98121578606359, 1.1094482588537484
89.03440788891339, 1.081328887962862
95.49839562992322, 1.0537761802931684
96.96, 1.0478626634578265
