# BD IPDI 110C 0.25 - NCO/DIPA = 0.25
# time / hours, [OH] / mol/L
0.0, 6.41387
2.4736243360396767e-5, 6.413514441051121
0.0002720986769643644, 6.409961377728047
0.002745723013004041, 6.374681572825579
0.02205028282865163, 6.114172270772124
0.07104861897970526, 5.552624013569868
0.1551251598520979, 4.828282183037472
0.305887658380895, 3.975466836625637
0.4610370490435133, 3.420061215823211
0.810641101945849, 2.709743966967557
1.0505307848411571, 2.430333883634982
1.550602943620539, 2.0850412367820135
2.083745164489042, 1.8859264920203291
2.720319277308793, 1.751078298185788
3.4390775006342116, 1.663653167969025
4.255002479557827, 1.60506539687982
5.160456895868433, 1.5647856804762954
6.162408038573988, 1.5347720015462123
7.268993199095217, 1.509916650312105
8.503457476823986, 1.4868123007492864
9.899874924463205, 1.4632497416986479
11.508804497707558, 1.437607597791264
13.400077874591684, 1.408507182349309
15.676175779355857, 1.374457209361129
18.493053935008078, 1.333532216949293
22.1036552520498, 1.2828969436621518
26.946216722866318, 1.2180429576729324
34.00376498060711, 1.129450015488593
42.142924278955455, 1.0353928524798979
50.176926880235314, 0.950384437433081
58.471361702819294, 0.8700907983861972
67.20783364495763, 0.7930100778371791
76.59053659522706, 0.7180035132559236
86.82787981070224, 0.6444511740990617
96.96, 0.5792966340337203
