# BD IPDI 110C 1 - NCO/DIPA = 1.00
# time / hours, [OH] / mol/L
0.0, 3.4675
7.388453326758527e-5, 3.467499999702224
0.0008127298659434379, 3.467499963991868
0.008201183192701965, 3.4674963564597006
0.05037773726429511, 3.467367328932234
0.12416990590272664, 3.466741606447209
0.2182566266850878, 3.46532611621501
0.34438046249790444, 3.4625831046961886
0.5038491224573863, 3.4581118607144297
0.7045894040189213, 3.4514330690495885
0.9500844497200824, 3.4423207286767803
1.2477613019529956, 3.4305440133028897
1.6052750964319762, 3.415935021867811
2.0356126307739535, 3.398128234241743
2.5570502871133862, 3.3765244844865907
3.198789904861499, 3.350062802388011
4.006656500588267, 3.3170263908716753
5.056475050434465, 3.2745793851662772
6.464859158346569, 3.218489887270821
8.29278843779755, 3.1471288290955854
10.29494445868596, 3.0707877034448687
12.193949772760618, 3.0000955007128987
13.919226827153892, 2.937290014662843
15.529136891371529, 2.8798841782184073
17.10905362809524, 2.8246476684097113
18.723709556441733, 2.7692961461621217
20.405782948980935, 2.712791881904255
22.161605011950655, 2.655046000978844
23.981266354795732, 2.5965045944951544
25.850184168441192, 2.5377300543910337
27.758024800963693, 2.4791122598153508
31.645786657450767, 2.363844817032225
37.00421012102679, 2.213738593948794
48.00000001286683, 1.9349488026575115
58.24348545087582, 1.707170579985157
73.10419329968084, 1.4237298581974498
87.24368020329872, 1.198299672817024
96.96, 1.064767003848724
